enrollment_id,resident_id,benefit_type,enrollment_date,activation_date,cancellation_date,monthly_fee
E00001,R00001,rewards_program,2022-10-25,2022-10-30,,0
E00002,R00001,air_filter,2023-01-01,2023-01-08,2023-04-30,12
E00003,R00001,pest_control,2022-12-01,,,8
E00004,R00001,credit_building,2022-10-17,2022-10-23,,5
E00005,R00001,renters_insurance,2022-10-09,2022-10-18,,15
E00006,R00002,pest_control,2022-10-29,2022-11-05,2023-04-28,8
E00007,R00002,air_filter,2022-10-22,2022-11-01,,12
E00008,R00002,credit_building,2022-10-28,2022-11-07,2023-01-28,5
E00009,R00003,rewards_program,2022-07-18,2022-07-18,,0
E00010,R00003,air_filter,2022-07-25,,,12
E00011,R00003,pest_control,2022-08-03,,,8
E00012,R00003,credit_building,2022-07-20,2022-07-28,2022-12-09,5
E00013,R00004,pest_control,2022-12-19,2022-12-28,,8
E00014,R00004,renters_insurance,2022-10-13,2022-10-22,,15
E00015,R00004,air_filter,2022-10-05,2022-10-12,,12
E00016,R00004,credit_building,2022-12-14,2022-12-21,2023-02-10,5
E00017,R00005,pest_control,2023-05-27,2023-06-05,,8
E00018,R00005,credit_building,2023-05-14,2023-05-22,,5
E00019,R00006,credit_building,2022-11-01,,,5
E00020,R00006,air_filter,2022-11-05,2022-11-14,,12
E00021,R00006,renters_insurance,2022-10-19,2022-10-31,,15
E00022,R00006,pest_control,2022-10-11,,,8
E00023,R00007,pest_control,2023-02-24,,,8
E00024,R00007,air_filter,2023-02-27,2023-03-05,,12
E00025,R00007,rewards_program,2023-02-22,2023-03-02,,0
E00026,R00007,renters_insurance,2023-03-11,2023-03-23,,15
E00027,R00007,credit_building,2023-04-01,2023-04-14,,5
E00028,R00008,pest_control,2024-05-02,2024-05-14,,8
E00029,R00008,air_filter,2024-04-02,2024-04-07,,12
E00030,R00008,renters_insurance,2024-04-06,2024-04-06,,15
E00031,R00009,pest_control,2022-12-28,2023-01-03,,8
E00032,R00009,air_filter,2022-12-27,2022-12-27,,12
E00033,R00009,renters_insurance,2023-01-05,2023-01-07,,15
E00034,R00009,credit_building,2022-12-15,,,5
E00035,R00009,rewards_program,2023-01-10,2023-01-21,,0
E00036,R00010,pest_control,2024-08-12,2024-08-24,,8
E00037,R00010,credit_building,2024-09-30,2024-10-13,,5
E00038,R00010,air_filter,2024-08-22,2024-08-26,,12
E00039,R00010,renters_insurance,2024-08-02,2024-08-03,,15
E00040,R00011,pest_control,2024-01-29,2024-01-31,,8
E00041,R00011,air_filter,2024-02-06,2024-02-11,2024-03-22,12
E00042,R00011,credit_building,2024-02-06,2024-02-16,2024-03-22,5
E00043,R00011,renters_insurance,2024-01-27,2024-02-06,,15
E00044,R00012,pest_control,2022-12-28,2023-01-03,,8
E00045,R00012,air_filter,2022-12-02,2022-12-13,2023-01-26,12
E00046,R00013,credit_building,2023-08-12,2023-08-17,,5
E00047,R00013,pest_control,2023-08-30,2023-09-03,,8
E00048,R00013,rewards_program,2023-09-08,2023-09-08,,0
E00049,R00014,air_filter,2022-11-22,2022-11-29,2023-02-27,12
E00050,R00014,rewards_program,2022-10-29,2022-11-09,,0
E00051,R00014,pest_control,2022-11-17,2022-11-21,,8
E00052,R00014,renters_insurance,2022-12-02,2022-12-08,,15
E00053,R00014,credit_building,2022-11-13,2022-11-21,,5
E00054,R00015,pest_control,2022-09-09,2022-09-16,,8
E00055,R00015,renters_insurance,2022-09-21,2022-09-21,,15
E00056,R00015,rewards_program,2022-09-24,2022-09-25,,0
E00057,R00015,credit_building,2022-09-29,2022-10-01,,5
E00058,R00016,rewards_program,2022-09-05,2022-09-12,,0
E00059,R00016,pest_control,2022-08-27,,,8
E00060,R00016,renters_insurance,2022-09-08,,,15
E00061,R00016,credit_building,2022-11-06,2022-11-07,2023-01-30,5
E00062,R00017,pest_control,2024-10-18,,,8
E00063,R00017,renters_insurance,2024-08-20,2024-08-31,,15
E00064,R00017,credit_building,2024-09-10,,,5
E00065,R00017,rewards_program,2024-08-16,2024-08-19,,0
E00066,R00018,credit_building,2022-07-31,2022-08-11,2022-11-25,5
E00067,R00018,air_filter,2022-08-01,,,12
E00068,R00018,pest_control,2022-07-17,,,8
E00069,R00019,pest_control,2023-02-12,2023-02-15,,8
E00070,R00019,rewards_program,2023-02-16,2023-02-20,,0
E00071,R00019,credit_building,2023-02-03,2023-02-16,,5
E00072,R00020,air_filter,2022-11-27,,,12
E00073,R00020,pest_control,2022-12-24,2022-12-26,,8
E00074,R00020,rewards_program,2022-11-06,,,0
E00075,R00021,rewards_program,2023-03-14,2023-03-27,,0
E00076,R00021,renters_insurance,2023-03-05,2023-03-14,,15
E00077,R00021,air_filter,2023-03-18,2023-03-25,,12
E00078,R00022,air_filter,2024-05-13,,,12
E00079,R00022,credit_building,2024-04-23,2024-05-02,2024-06-09,5
E00080,R00022,pest_control,2024-05-14,2024-05-14,,8
E00081,R00023,air_filter,2023-08-18,2023-08-25,,12
E00082,R00023,renters_insurance,2023-07-13,,,15
E00083,R00024,credit_building,2022-12-22,2023-01-04,,5
E00084,R00024,pest_control,2022-11-30,2022-11-30,,8
E00085,R00024,rewards_program,2022-11-09,,,0
E00086,R00025,credit_building,2023-07-22,2023-07-31,,5
E00087,R00025,air_filter,2023-08-07,,,12
E00088,R00025,pest_control,2023-07-23,2023-08-02,,8
E00089,R00025,rewards_program,2023-08-07,2023-08-21,2023-12-19,0
E00090,R00026,rewards_program,2024-05-12,,,0
E00091,R00026,renters_insurance,2024-05-02,2024-05-05,,15
E00092,R00026,pest_control,2024-05-11,2024-05-20,,8
E00093,R00027,renters_insurance,2024-09-18,,,15
E00094,R00027,pest_control,2024-08-26,2024-09-02,,8
E00095,R00027,credit_building,2024-09-01,2024-09-11,,5
E00096,R00027,air_filter,2024-08-31,2024-09-03,2025-02-06,12
E00097,R00028,renters_insurance,2023-09-19,,,15
E00098,R00028,pest_control,2023-09-17,2023-09-20,,8
E00099,R00028,credit_building,2023-09-11,2023-09-24,,5
E00100,R00028,air_filter,2023-09-29,,,12
E00101,R00029,air_filter,2022-08-31,2022-09-03,,12
E00102,R00029,credit_building,2022-09-09,2022-09-12,,5
E00103,R00029,rewards_program,2022-10-08,2022-10-11,,0
E00104,R00029,pest_control,2022-08-30,2022-09-02,,8
E00105,R00030,credit_building,2024-09-01,,,5
E00106,R00030,rewards_program,2024-09-04,2024-09-07,,0
E00107,R00031,renters_insurance,2023-10-27,,,15
