resident_id,property_id,lease_start_date,lease_end_date,move_out_date,rent_amount
R00001,P001,2022-10-08,2023-10-03,2023-04-30,2550
R00002,P001,2022-10-18,2023-04-16,,2050
R00003,P001,2022-07-07,2023-07-02,,2350
R00004,P001,2022-09-23,2023-09-18,,2250
R00005,P001,2023-04-19,2024-04-13,,1400
R00006,P001,2022-10-11,2023-10-06,2022-12-17,1700
R00007,P001,2023-02-13,2023-08-12,,1950
R00008,P001,2024-04-02,2025-03-28,,2250
R00009,P001,2022-12-13,2023-06-11,2023-02-16,1850
R00010,P001,2024-07-28,2025-07-23,,1700
R00011,P001,2024-01-22,2025-01-16,,1850
R00012,P001,2022-11-28,2023-05-27,2023-01-26,1800
R00013,P001,2023-08-12,2024-08-06,2023-09-17,1950
R00014,P001,2022-10-23,2023-10-18,,2400
R00015,P001,2022-09-06,2023-09-01,2023-04-03,1750
R00016,P001,2022-08-09,2023-08-04,2023-08-03,2400
R00017,P001,2024-07-22,2025-07-17,,2600
R00018,P001,2022-07-02,2023-06-27,2023-05-12,2000
R00019,P001,2023-01-19,2024-01-14,2023-10-06,1900
R00020,P001,2022-10-13,2023-10-08,,2400
R00021,P001,2023-03-05,2024-02-28,,2250
R00022,P001,2024-04-19,2025-04-14,,2300
R00023,P001,2023-06-05,2024-05-30,2024-04-23,1500
R00024,P001,2022-11-05,2023-10-31,,2450
R00025,P001,2023-07-13,2024-07-07,2024-06-09,2100
R00026,P001,2024-04-18,2025-04-13,,1400
R00027,P001,2024-08-22,2025-08-17,,2600
R00028,P001,2023-09-11,2024-03-09,,2050
R00029,P001,2022-08-24,2023-08-19,,1800
R00030,P001,2024-08-17,2025-08-12,,2400
R00031,P001,2023-10-17,2024-10-11,,1600
R00032,P001,2023-09-18,2024-09-12,2024-07-28,2200
R00033,P001,2022-09-16,2023-03-15,2022-11-21,1950
R00034,P001,2023-04-08,2024-04-02,2024-01-04,1500
R00035,P001,2022-10-27,2023-04-25,,2600
R00036,P001,2024-08-05,2025-07-31,,2250
R00037,P001,2022-08-28,2023-08-23,,1700
R00038,P001,2024-08-23,2025-08-18,,1850
R00039,P001,2023-12-21,2024-12-15,,2200
R00040,P001,2023-02-08,2023-08-07,2023-07-16,1400
R00041,P001,2024-07-19,2025-07-14,,1500
R00042,P001,2024-07-08,2025-01-04,2024-09-22,1450
R00043,P001,2023-02-08,2024-02-03,,2150
R00044,P001,2022-09-24,2023-09-19,2022-11-23,2300
R00045,P001,2024-06-26,2025-06-21,2024-08-11,2050
R00046,P001,2022-07-22,2023-07-17,2022-11-08,2050
R00047,P001,2023-07-24,2024-01-20,2023-11-04,2400
R00048,P001,2024-02-13,2025-02-07,,1550
R00049,P001,2022-07-18,2023-07-13,2022-09-15,2050
R00050,P001,2022-08-08,2023-08-03,,1500
R00051,P001,2023-10-28,2024-10-22,2024-04-12,1450
R00052,P001,2024-10-27,2025-04-25,,1500
R00053,P001,2022-07-16,2023-07-11,,2000
R00054,P001,2022-07-01,2023-06-26,2023-04-01,1800
R00055,P001,2023-05-23,2024-05-17,,2250
R00056,P001,2024-08-05,2025-07-31,,1700
R00057,P001,2022-09-18,2023-03-17,,1900
R00058,P001,2022-07-16,2023-07-11,,2200
R00059,P001,2022-07-17,2023-01-13,2022-09-22,1650
R00060,P001,2022-09-22,2023-09-17,,2000
